Timestamp,FQR,FQ,FCR,FC,CLR,CL,TMR,TM,FER,FE,PVR,PV,STR,ST,RECR,REC,Can you describe your experience at the restaurant in your own language?,Classification1
2024-06-24 01:11:46,High,7,High,10,High,7,Medium,6,Medium,6,High,7,High,7,Medium,6,The place was a very beautifully decorated one. But the food tasted quite average. We ordered many items but only the pizza was worth having.,High
2024-06-24 01:14:09,High,7,Medium,5,Medium,6,Medium,5,Medium,5,Medium,5,Medium,6,Medium,6,Good👍,High
2024-06-24 01:18:18,High,7,Medium,5,Medium,5,Medium,4,High,8,Medium,5,Medium,5,Medium,6,"The food was good, but not for the price and quality of the environment",High
2024-06-24 04:09:00,High,7,Medium,6,Medium,5,Medium,5,High,9,Medium,6,High,7,Low,3,"Though this restaurant does not maintain hygiene properly, people come to this type of restaurant and have their foods.",High
2024-06-24 04:26:12,Medium,6,Low,3,Low,3,High,7,High,10,Medium,6,High,7,High,7,Just a Small restaurant. Don’t have enough seat to serve. But food is average good,Medium
2024-06-24 06:38:11,Low,3,Low,3,Low,3,Medium,6,High,10,High,7,Medium,5,Medium,5,No i have exams ,Low
2024-06-07 22:03:54,High,,High,,High,,High,,High,8,High,,High,,High,,,High
2024-06-23 23:33:54,Low,3,Low,2,Medium,4,Medium,6,Medium,5,Low,3,Low,2,Low,1,Worst experience ever,Low
2024-06-23 23:35:56,Medium,4,Medium,4,Medium,5,Medium,6,Medium,6,Medium,6,Medium,4,Medium,5,Below average. ,Medium
2024-06-23 23:36:23,Medium,4,Low,3,Low,2,Medium,5,High,7,Low,3,Low,3,Low,2,"Very unhygienic environment, didn't enjoy the time there",Medium
2024-06-23 23:49:45,Low,3,Low,2,Low,3,Low,3,High,10,Low,2,Low,3,Low,2,Terrible,Low
2024-06-23 23:50:03,Medium,5,High,7,High,8,Medium,6,High,10,High,7,Medium,5,Medium,4,The decoration was good unlike their way of handling situations also they provide less quarantine for all food.,Medium
2024-06-23 23:50:16,High,7,High,7,High,7,High,7,Medium,6,High,7,High,7,High,7,Good ,High
2024-06-23 23:52:07,High,7,Medium,5,Medium,5,Medium,5,Medium,4,Medium,4,Medium,4,Low,2,The restaurant was very much congested that I felt suffocated,High
2024-06-23 23:53:37,Medium,4,High,10,High,9,High,8,High,7,Low,2,Low,2,Low,1,"Their servings were small compared to their high prices. The food was bland under the guise of being ""exquisite."" I won't be returning there ever again.",Medium
2024-06-24 01:11:46,Medium,5,Medium,4,Medium,5,Medium,4,Medium,6,Low,2,Low,3,Low,1,"The day we went there, they had buffet arrangement. It was buzzing with people. We somehow managed to get a seat but it wasn't comfortable at all. We chose to not take the buffet and order independently. The thai soup we ordered tasted like water and sauce mixed. To this date, I haven't tasted any soup as bad as that. It was so bad that we didn't stay for dinner. Went to another restaurant. ",Medium
2024-06-24 01:14:09,Low,2,Low,2,Low,1,Low,2,Medium,5,Low,1,Low,3,Low,3,bad,Low
2024-06-24 01:18:18,Low,2,Low,3,Low,2,Medium,4,High,8,Medium,4,Low,3,Medium,4,"I had a takeout, but waited in the restaurant for a couple of minutes. The floor was almost flooded with water and there were cockroaches and ants. The food took forever to come and the chicken was very stale.",Low
2024-06-24 04:09:00,Low,2,Low,3,Medium,4,High,8,High,9,Low,1,Low,1,Low,1,An warfare would be better than this restaurant place.,Low
2024-06-24 04:26:12,Low,2,High,10,High,7,Low,3,High,10,Low,1,Low,1,Low,1,Give very small quantity food with high price. Taste doesn’t good also,Low
2024-06-24 06:38:11,Low,1,Low,1,Low,1,Low,1,High,10,Low,1,Low,1,Low,1,Hakka Dhaka in bailey road,Low
2024-06-25 14:24:17,Medium,6,Medium,4,Medium,6,High,9,High,8,High,8,High,8,High,7,The food at this restaurant is dependably good,
2024-06-25 14:24:17,High,9,High,10,High,10,Medium,6,Medium,5,High,8,High,9,High,10,"The experience at this restaurant was better than any other restaurants in Bangladesh. The food was too spicy, but the taste was superb. The place had a quiet and serene ambience.",
2024-06-25 14:24:17,Low,2,Low,1,Low,1,High,8,Medium,6,Low,1,Low,1,Low,1,The food was bland even though food was overpriced. The decor of the place was pretentious. The hygiene was questionable.,
2024-06-28 22:28:23,High,10,High,10,High,10,Medium,5,High,8,High,8,High,9,High,10,Good food and atmosphere,
2024-06-28 22:37:51,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,High,7,Medium,5,,
2024-06-28 22:38:59,High,9,High,9,High,9,Low,3,Medium,6,High,8,High,8,High,9,At feni sizzler was good,
2024-06-28 22:43:45,High,8,High,10,High,10,High,7,High,7,High,8,High,8,High,9,Pinewood. The view was awesome. But the price was a bit costly. Overall it was a great experience to visit there Alhamdulillah.,
2024-06-28 22:54:51,High,7,High,7,High,7,Medium,5,High,10,Medium,5,Medium,5,High,7,Very good..  I am marzun.,
2024-06-28 23:03:58,High,8,High,10,High,9,Medium,4,High,10,High,7,High,8,High,8,Mixed,
2024-06-28 23:23:03,High,9,High,8,High,8,Medium,5,Medium,6,High,8,High,7,High,7,Good,
2024-06-28 23:39:04,High,10,High,9,High,10,High,8,Medium,4,High,9,High,10,High,9,আমার পছন্দের রেস্টুরেন্ট এর জনপ্রিয়তা কম । তাই এইখানে বেশির ভাগ সময় কোনো ভির থাকে না । আর খাবারএর স্বাদ ও হোম মেড খাবারের মতো।  সেখানে ইনডোর স্পেস এর সাথে আউটডোর স্পেস ও আছে । পুরো জায়গা সিসিটিভি surveillance এর আওতায় থাকে । সব মিলিয়ে জায়গাটি পরিবার নিয়ে যাওয়ার জন্য একটি উপযুক্ত জায়গা।,
2024-06-29 00:51:25,High,9,High,9,High,9,High,8,High,7,High,10,High,10,High,10,The environment was very calm. Like the architecture really gave every table a lot of privacy ,
2024-06-29 11:36:04,High,7,High,9,High,7,Low,3,Medium,6,High,7,High,8,High,7,Felt good all over.Also there food was delicious and hygienic ,
2024-06-29 11:48:12,Medium,6,Medium,5,Medium,5,High,7,Medium,5,Medium,6,Medium,5,High,7,I had a very good experience. The environment was pleasing to the eyes.,
2024-06-29 16:10:34,High,10,High,9,High,10,Medium,6,High,8,High,10,High,10,High,10,"I went to the restaurant with my family, I can say it's family friendly. The food was made after we ordered and was served hot. The taste was just as good as it was 5 years ago. ",
2024-06-29 20:09:56,High,9,High,10,High,9,High,10,High,9,High,10,High,9,High,7,.,
2024-06-28 22:28:23,Medium,6,High,7,High,9,Medium,5,High,8,High,7,High,8,Medium,4,"Small area, less decoration, average food",
2024-06-28 22:37:51,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,,
2024-06-28 22:38:59,High,7,High,9,High,9,High,8,High,10,High,7,Medium,6,Medium,6,At Feni best in,
2024-06-28 22:43:45,High,7,Medium,6,High,7,High,8,Medium,6,High,7,High,7,High,7,Moderate restaurants are different from one another. So overall I can say food test was nearly same. Cost friendly. So overall yes good experience.,
2024-06-28 22:54:51,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,4,Medium,6,Average ,
2024-06-28 23:03:58,Medium,6,Medium,6,Medium,6,Medium,6,Medium,6,Medium,5,Medium,5,Medium,6,Moderate ,
2024-06-28 23:23:03,High,7,Medium,6,Medium,5,Medium,5,Medium,6,Medium,6,Medium,6,Medium,5,Moderate,
2024-06-28 23:39:04,High,10,High,7,High,9,High,8,High,8,High,7,Medium,6,Medium,6,ভিড় বেশি থাকায় আমি সেখানে থাকতে পছন্দ করিনা । কিন্তু খাবারের স্বাদ ভালো হওয়ায় সেখানে যাওয়া হয় । খুব কম । ,
2024-06-29 00:51:25,Medium,6,High,9,High,8,High,8,High,9,High,7,High,7,High,7,It could use more lighting. I thought the food would taste better since it was so pricey,
2024-06-29 11:36:04,High,8,High,8,Medium,5,High,7,Medium,5,High,7,High,7,High,7,Minimal good ,
2024-06-29 11:48:12,Medium,5,Medium,6,Medium,5,Medium,6,Medium,5,Medium,5,High,7,Medium,6,Good & memorable,
2024-06-29 16:10:34,High,7,High,9,High,9,Medium,6,High,8,High,7,High,7,High,7,"Even though the restaurant was family friendly,  the food quality was not that good and it was very expensive. The environment is nice but the quality has dropped within just a few years. ",
2024-06-29 20:09:56,High,7,Medium,6,Medium,6,High,7,Medium,6,High,7,High,7,High,7,.,
2024-06-28 22:28:23,Low,1,Low,1,Medium,4,High,9,Medium,5,Low,1,Low,1,Low,1,Meat was uncooked and too hard,
2024-06-28 22:37:51,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,Medium,5,,
2024-06-28 22:38:59,Medium,4,Medium,5,High,7,High,9,High,8,Medium,5,Medium,4,Medium,4,Don’t remember name,
2024-06-28 22:43:45,Medium,4,Medium,5,Medium,4,Medium,5,Medium,5,Medium,4,Medium,4,Low,1,It was so bad. Food quality was so bad. Moreover the cost was so high depending the food quality. Higeane was moderate. So I don't like to recommend someone to go there.,
2024-06-28 22:54:51,Low,2,Low,1,Low,2,Low,3,Low,3,Low,3,Low,2,Low,2,Worst,
2024-06-28 23:03:58,Low,2,Low,2,Low,2,Low,2,Low,2,Low,2,Low,2,Low,2,Worst,
2024-06-28 23:23:03,Medium,4,Medium,4,Medium,4,Medium,4,Medium,4,Medium,4,Medium,4,Medium,4,Worst,
2024-06-28 23:39:04,Low,2,High,8,High,7,Medium,6,High,10,Low,3,Low,2,Low,1,সেখানে কোনো ভিড় নেই । খাবারের স্বাদ ও ভালো না । দাম ও বেশি । জীবনে একবার গিয়েছিলাম। ,
2024-06-29 00:51:25,Low,2,High,7,High,7,High,8,High,8,Medium,5,Medium,5,Low,1,The food was bad. I'll be honest the taste of food is what makes or breaks a resturant,
2024-06-29 11:36:04,Low,2,Low,3,Low,3,High,8,Low,3,Medium,4,Low,2,Low,1,Money facts,
2024-06-29 11:48:12,Medium,4,Medium,4,Medium,6,Medium,6,Medium,4,Medium,6,Medium,4,Medium,6,Not worthy and time waste..,
2024-06-29 16:10:34,Low,3,Low,2,Low,1,High,8,Medium,4,Low,1,Low,1,Low,1,"It felt like a waste of money because the food was not good and we couldn't even finish it. The hygiene was not properly maintained, which made it difficult to enjoy the meal.",
2024-06-29 20:09:56,High,7,Medium,6,Medium,6,Medium,6,High,7,Medium,6,High,7,Medium,6,",",
2024-07-08 14:22:33,High,8,High,9,High,8,Medium,6,Medium,5,High,8,High,9,High,8,"The food was delicious and the atmosphere was great. Service was a bit slow, but overall a very enjoyable experience.",High,
2024-07-09 18:45:12,Medium,5,Medium,6,High,7,High,8,Low,3,Medium,6,Medium,6,Medium,5,"Decent food, clean place, but nothing extraordinary. Prices were reasonable.",Medium,
2024-07-10 20:11:55,High,9,High,10,High,9,High,8,Medium,6,High,9,High,10,High,10,"Exceptional dining experience! The food was outstanding, and the ambiance was perfect.",High,
2024-07-11 12:30:22,Low,3,Low,2,Medium,4,Low,3,High,8,Low,2,Low,2,Low,1,"Disappointing. The food was subpar, service was slow, and it was overpriced.",Low,
2024-07-12 19:05:47,High,8,Medium,6,High,8,Medium,5,Medium,5,High,7,High,8,High,7,"Good food and clean environment. Service could be faster, but overall satisfactory.",High,
2024-07-13 13:40:09,Medium,6,High,7,Medium,6,High,8,Low,3,High,7,Medium,6,Medium,6,"Nice atmosphere and quick service. Food was average, but prices were good.",Medium,
2024-07-14 21:15:33,High,9,High,8,High,9,Medium,6,High,7,High,8,High,9,High,9,"Excellent food quality and very clean. A bit pricey, but worth it for the experience.",High,
2024-07-15 11:55:28,Low,2,Medium,4,Low,3,Medium,5,High,9,Low,1,Low,2,Low,1,"Poor hygiene and mediocre food. Overpriced for what you get. Won't be returning.",Low,
2024-07-16 17:20:41,High,8,High,9,High,8,High,7,Medium,5,High,9,High,8,High,8,"Great experience overall. Delicious food, nice ambiance, and attentive staff.",High,
2024-07-17 14:05:59,Medium,5,Medium,5,Medium,6,Low,3,Medium,6,Medium,5,Medium,5,Medium,4,"Average food and decor. The service was slow, which was frustrating.",Medium,
2024-07-18 20:30:17,High,10,High,9,High,10,High,8,High,8,High,10,High,10,High,10,"Outstanding in every way! From the food to the service, everything was top-notch.",High,
2024-07-19 12:45:23,Low,3,Low,3,Medium,4,Medium,5,High,8,Low,2,Low,3,Low,2,"Underwhelming food and overpriced. The only positive was the quick service.",Low,
2024-07-20 18:10:36,High,8,High,7,High,8,Medium,6,Low,3,High,8,High,7,High,7,"Very good food at reasonable prices. Clean environment and decent service.",High,
2024-07-21 15:25:52,Medium,6,High,7,Medium,5,High,8,Medium,5,Medium,6,Medium,6,Medium,5,"Nice atmosphere but the food was just okay. Service was quick though.",Medium,
2024-07-22 19:40:08,High,9,High,8,High,9,High,7,Medium,6,High,9,High,9,High,8,"Excellent dining experience. Great food, clean place, and attentive staff.",High,
2024-07-23 13:55:29,Low,2,Low,3,Low,2,Low,3,High,9,Low,1,Low,2,Low,1,"Terrible experience. Poor food quality, dirty environment, and slow service.",Low,
2024-07-24 21:05:44,High,8,High,9,High,8,Medium,5,High,7,High,8,High,8,High,7,"Delicious food in a lovely setting. A bit expensive, but worth it for special occasions.",High,
2024-07-25 16:20:11,Medium,5,Medium,6,High,7,High,8,Low,3,Medium,6,Medium,5,Medium,5,"Clean restaurant with fast service. Food was average, but prices were good.",Medium,
2024-07-26 12:35:37,High,9,High,8,High,9,High,7,Medium,5,High,9,High,9,High,8,"Fantastic food and great atmosphere. Service was prompt and friendly.",High,
2024-07-27 18:50:53,Low,3,Medium,4,Low,3,Medium,6,High,8,Low,2,Low,3,Low,2,"Disappointing food quality and cleanliness. Not worth the high prices.",Low,
2024-07-28 14:15:19,High,8,High,7,High,8,Medium,5,Low,3,High,8,High,7,High,7,"Very enjoyable meal. Good food, nice ambiance, and reasonable prices.",High,
2024-07-29 20:30:42,Medium,6,Medium,5,Medium,6,High,8,Medium,5,Medium,6,Medium,5,Medium,5,"Decent food but nothing special. Quick service and average prices.",Medium,
2024-07-30 11:45:08,High,9,High,10,High,9,High,8,High,7,High,10,High,10,High,9,"Exceptional experience! Amazing food, beautiful decor, and impeccable service.",High,
2024-07-31 17:00:25,Low,2,Low,2,Medium,4,Low,3,High,9,Low,1,Low,2,Low,1,"One of the worst dining experiences. Poor food, slow service, and overpriced.",Low,
2024-08-01 13:25:51,High,8,High,9,High,8,Medium,6,Medium,5,High,8,High,8,High,7,"Very good food and pleasant atmosphere. Service could be a bit faster.",High,
2024-08-02 19:40:17,Medium,5,Medium,6,High,7,High,8,Low,3,Medium,6,Medium,5,Medium,6,"Clean restaurant with quick service. Food was average but reasonably priced.",Medium,
2024-08-03 15:55:33,High,9,High,8,High,9,High,7,Medium,6,High,9,High,9,High,8,"Excellent meal in a lovely setting. The staff were attentive and professional.",High,
2024-08-04 12:10:59,Low,3,Low,3,Low,2,Medium,5,High,8,Low,2,Low,3,Low,2,"Poor food quality and cleanliness. The only positive was the quick service.",Low,
2024-08-05 18:25:24,High,8,High,7,High,8,Medium,5,Low,3,High,8,High,7,High,7,"Delicious food at good prices. Nice atmosphere and friendly staff.",High,
2024-08-06 14:40:41,Medium,6,Medium,5,Medium,6,High,8,Medium,5,Medium,6,Medium,6,Medium,5,"Average food but served quickly. The place was clean and prices were okay.",Medium,
2024-08-07 20:55:07,High,9,High,10,High,9,High,8,High,7,High,10,High,10,High,9,"Outstanding dining experience! Everything from food to service was excellent.",High,
2024-08-08 11:20:33,Low,2,Medium,4,Low,3,Low,3,High,9,Low,1,Low,2,Low,1,"Terrible experience overall. Bad food, dirty environment, and slow service.",Low,
2024-08-09 17:35:59,High,8,High,9,High,8,Medium,6,Medium,5,High,8,High,8,High,7,"Very enjoyable meal. Great food, nice atmosphere, and good service.",High,
2024-08-10 13:50:25,Medium,5,Medium,6,High,7,High,8,Low,3,Medium,6,Medium,5,Medium,6,"Clean place with fast service. Food was decent and prices were reasonable.",Medium,
2024-08-11 20:05:51,High,9,High,8,High,9,High,7,Medium,6,High,9,High,9,High,8,"Excellent restaurant. Delicious food, beautiful decor, and attentive staff.",High,
2024-08-12 16:20:17,Low,3,Low,2,Medium,4,Medium,5,High,8,Low,2,Low,3,Low,2,"Disappointing food quality and overpriced. The place was clean at least.",Low,
2024-08-13 12:35:43,High,8,High,7,High,8,Medium,5,Low,3,High,8,High,7,High,7,"Very good experience. Tasty food, nice ambiance, and reasonable prices.",High,
2024-08-14 18:50:09,Medium,6,Medium,5,Medium,6,High,8,Medium,5,Medium,6,Medium,6,Medium,5,"Average food but served promptly. Clean environment and fair prices.",Medium,
2024-08-15 15:05:35,High,9,High,10,High,9,High,8,High,7,High,10,High,10,High,9,"Fantastic dining experience! Exceptional food, service, and atmosphere.",High,
2024-08-16 11:20:01,Low,2,Low,3,Low,2,Low,3,High,9,Low,1,Low,2,Low,1,"One of the worst restaurants I've been to. Everything was subpar.",Low,
2024-08-17 17:35:27,High,8,High,9,High,8,Medium,6,Medium,5,High,8,High,8,High,7,"Great meal in a lovely setting. Food was delicious and service was good.",High,
2024-08-18 13:50:53,Medium,5,Medium,6,High,7,High,8,Low,3,Medium,6,Medium,5,Medium,6,"Decent food and quick service. The place was very clean and prices were good.",Medium,
2024-08-19 20:05:19,High,9,High,8,High,9,High,7,Medium,6,High,9,High,9,High,8,"Excellent restaurant overall. Great food, ambiance, and attentive staff.",High,
2024-08-20 16:20:45,Low,3,Medium,4,Low,3,Medium,5,High,8,Low,2,Low,3,Low,2,"Poor food quality and cleanliness. Service was okay but not worth the price.",Low,
2024-08-21 12:35:11,High,8,High,7,High,8,Medium,5,Low,3,High,8,High,7,High,7,"Very enjoyable dining experience. Good food, nice atmosphere, fair prices.",High,
2024-08-22 18:50:37,Medium,6,Medium,5,Medium,6,High,8,Medium,5,Medium,6,Medium,6,Medium,5,"Average food but served quickly. Clean place and reasonable prices.",Medium,
